                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0972,                 10.414,                      0,                 2.2196,                 1.3965,                0.79373,                0.85333,                0.86298,                0.58908,                0.00053,                0.06667,                0.00035,                0.00016,                    nan,                 10.799,                      0,                    nan,                    nan,             0.00054905,             0.00054905,             0.00054905
                      2,                 1.3316,                 10.083,                      0,                 1.9492,                 1.5475,                0.70185,                    0.8,                0.69256,                0.31366,                0.00031,                0.05333,                 0.0002,                  8e-05,                    nan,                 10.797,                      0,                    nan,                    nan,              0.0010938,              0.0010938,              0.0010938
                      3,                 1.3238,                 10.162,                      0,                 1.8279,                 1.5637,                0.64972,                0.73333,                0.73927,                0.41329,                0.00051,                0.09333,                0.00038,                0.00013,                    nan,                 10.613,                      0,                    nan,                    nan,              0.0016275,              0.0016275,              0.0016275
                      4,                 1.3856,                 10.266,                      0,                 1.9214,                 1.5443,                  0.632,                0.61333,                0.63705,                0.30004,                0.00042,                   0.08,                 0.0003,                 0.0001,                    nan,                 10.792,                      0,                    nan,                    nan,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.4335,                 10.049,                      0,                 1.8235,                 1.6018,                0.62139,                0.70667,                0.66929,                0.40959,                0.00053,                0.09333,                0.00037,                0.00013,                    nan,                 10.738,                      0,                    nan,                    nan,               0.001601,               0.001601,               0.001601
                      6,                 1.3605,                  9.926,                      0,                 1.6809,                   1.59,                0.67161,                0.73333,                0.77506,                0.41321,                0.00058,                0.10667,                0.00047,                0.00017,                    nan,                 10.604,                      0,                    nan,                    nan,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.4344,                 10.093,                      0,                 1.7294,                 1.6357,                0.58834,                0.70667,                0.62607,                0.37658,                0.00042,                   0.08,                0.00033,                0.00013,                    nan,                 10.523,                      0,                    nan,                    nan,               0.001568,               0.001568,               0.001568
                      8,                 1.3538,                 10.082,                      0,                 1.7164,                  1.603,                0.72887,                0.77333,                0.78452,                 0.4243,                0.00063,                0.09333,                0.00044,                0.00017,                    nan,                 10.555,                      0,                    nan,                    nan,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.3375,                 9.9007,                      0,                 1.6095,                 1.5359,                0.82967,                 0.6495,                0.77713,                0.46631,                0.00062,                0.06667,                0.00041,                0.00017,                    nan,                 10.365,                      0,                    nan,                    nan,               0.001535,               0.001535,               0.001535
                     10,                 1.2847,                 9.9557,                      0,                 1.4717,                 1.4839,                0.70698,                0.66667,                0.73454,                0.44277,                0.00075,                   0.08,                0.00047,                0.00017,                    nan,                 10.282,                      0,                    nan,                    nan,              0.0015185,              0.0015185,              0.0015185
                     11,                  1.365,                 9.7185,                      0,                 1.4936,                 1.5519,                0.73362,                0.81333,                0.82372,                0.51859,                0.00078,                   0.08,                0.00048,                0.00023,                    nan,                 10.162,                      0,                    nan,                    nan,               0.001502,               0.001502,               0.001502
                     12,                 1.2265,                 9.6435,                      0,                 1.4208,                 1.4634,                0.63652,                0.73333,                  0.709,                0.33596,                0.00049,                0.05333,                0.00026,                  9e-05,                    nan,                 10.223,                      0,                    nan,                    nan,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.2386,                 9.5702,                      0,                 1.3974,                 1.4635,                0.65417,                0.73144,                0.74366,                0.44629,                0.00056,                0.06667,                0.00032,                0.00011,                    nan,                 10.025,                      0,                    nan,                    nan,               0.001469,               0.001469,               0.001469
                     14,                 1.2968,                 9.5385,                      0,                 1.4168,                 1.5164,                0.83767,                0.77333,                0.85967,                0.49384,                0.00038,                0.05333,                0.00021,                0.00011,                    nan,                 9.9289,                      0,                    nan,                    nan,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.2321,                 9.5632,                      0,                 1.3371,                 1.4874,                0.88041,                0.68719,                0.83185,                0.48899,                0.00071,                0.06667,                 0.0004,                0.00016,                    nan,                 9.9822,                      0,                    nan,                    nan,               0.001436,               0.001436,               0.001436
                     16,                 1.2094,                 9.1788,                      0,                 1.3786,                  1.441,                0.70302,                0.78667,                0.81656,                0.47295,                0.00059,                0.05333,                0.00032,                0.00015,                    nan,                 9.8371,                      0,                    nan,                    nan,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.2112,                 9.4188,                      0,                 1.3576,                 1.4775,                 0.8231,                0.80657,                0.81262,                0.46708,                0.00055,                   0.04,                0.00032,                0.00021,                    nan,                 9.8995,                      0,                    nan,                    nan,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.2561,                 9.3281,                      0,                 1.2819,                 1.5113,                0.84165,                   0.84,                0.87369,                0.51124,                0.00055,                   0.04,                 0.0003,                0.00014,                    nan,                 9.7316,                      0,                    nan,                    nan,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.1854,                  9.233,                      0,                 1.2898,                 1.4365,                0.76098,                0.86667,                0.84934,                 0.4916,                0.00052,                   0.04,                0.00027,                0.00012,                    nan,                 9.6441,                      0,                    nan,                    nan,              0.0013699,              0.0013699,              0.0013699
                     20,                  1.177,                 9.1698,                      0,                 1.2754,                 1.4587,                0.80419,                0.87616,                0.85525,                0.48473,                0.00053,                   0.04,                0.00028,                 0.0001,                    nan,                 9.7321,                      0,                    nan,                    nan,              0.0013534,              0.0013534,              0.0013534
                     21,                  1.196,                  9.062,                      0,                 1.2132,                 1.4633,                0.89089,                0.82667,                0.89554,                0.50447,                0.00046,                0.02667,                0.00024,                  6e-05,                    nan,                 9.6433,                      0,                    nan,                    nan,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.1654,                 9.0836,                      0,                   1.26,                 1.4564,                0.83508,                0.77333,                0.78031,                0.39394,                      0,                      0,                      0,                      0,                    nan,                  9.614,                      0,                    nan,                    nan,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.2328,                 8.9833,                      0,                 1.2846,                 1.4671,                 0.7483,                0.85333,                0.85603,                0.56368,                0.00049,                0.02667,                0.00025,                  5e-05,                    nan,                 9.5877,                      0,                    nan,                    nan,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.2248,                 9.1806,                      0,                  1.264,                 1.4538,                0.73134,                   0.88,                0.83522,                0.54145,                0.00049,                0.02667,                0.00027,                  7e-05,                    nan,                 9.6183,                      0,                    nan,                    nan,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.1182,                 8.8468,                      0,                 1.2013,                 1.3692,                0.84249,                0.78667,                 0.8263,                0.51794,                0.00155,                0.09333,                0.00088,                0.00036,                    nan,                 9.4195,                      0,                    nan,                    nan,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.0794,                 9.0025,                      0,                 1.1035,                  1.372,                0.83822,                   0.72,                0.81109,                0.42372,                0.00205,                0.10667,                0.00119,                0.00049,                    nan,                 9.3451,                      0,                    nan,                    nan,              0.0012544,              0.0012544,              0.0012544
                     27,                  1.168,                 8.6606,                      0,                 1.1712,                 1.3973,                0.86388,                0.67698,                0.82475,                  0.519,                0.00228,                0.10667,                0.00127,                0.00047,                    nan,                 9.2838,                      0,                    nan,                    nan,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.1489,                 8.8025,                      0,                 1.1904,                 1.4407,                0.85943,                 0.8152,                0.85821,                0.56017,                0.00095,                   0.04,                0.00052,                0.00027,                    nan,                 9.2232,                      0,                    nan,                    nan,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.0589,                  8.722,                      0,                 1.1408,                 1.3491,                0.80979,                0.85148,                0.89932,                0.58214,                0.00199,                0.06667,                0.00119,                0.00035,                    nan,                 9.0457,                      0,                    nan,                    nan,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.0782,                 8.5251,                      0,                 1.1429,                 1.3368,                0.84918,                0.74667,                0.87417,                0.52512,                0.00125,                   0.04,                0.00066,                 0.0002,                    nan,                 8.9759,                      0,                    nan,                    nan,              0.0011884,              0.0011884,              0.0011884
