                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.4164,                 6.8632,                 0.4193,                 1.5402,                 1.7074,                0.81581,                 0.8111,                0.85368,                0.47331,                0.18416,                0.20184,                0.09547,                 0.0168,                    nan,                 11.104,                 1.4475,                    nan,                    nan,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.3621,                 6.8173,                0.42377,                 1.4397,                 1.6705,                0.68966,                0.70663,                 0.7232,                0.37418,                0.17246,                0.21374,                0.10671,                0.01505,                    nan,                 11.057,                 1.5364,                    nan,                    nan,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.3817,                 6.9776,                0.42132,                 1.4964,                  1.662,                0.79638,                0.75812,                0.81662,                0.46403,                0.32829,                0.23695,                0.14317,                0.02065,                    nan,                 10.935,                 1.5643,                    nan,                    nan,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.3828,                 6.8219,                0.42404,                 1.4827,                 1.6638,                 0.7597,                 0.7364,                0.81284,                0.46983,                 0.1107,                0.14232,                0.03344,                0.00521,                    nan,                  11.07,                 1.4068,                    nan,                    nan,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.3496,                 6.8017,                0.40472,                 1.4732,                 1.6459,                0.71934,                0.71926,                0.78306,                0.41767,                0.18025,                0.17803,                0.08726,                0.01084,                    nan,                 11.197,                 1.3961,                    nan,                    nan,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.4004,                 6.9456,                0.41636,                 1.4381,                 1.6773,                0.77207,                 0.7424,                0.80505,                0.45018,                0.06311,                0.03571,                0.01046,                0.00164,                    nan,                  11.21,                 1.3789,                    nan,                    nan,              0.0012214,              0.0012214,              0.0012214
                     29,                   1.33,                 6.8536,                0.42252,                 1.4451,                 1.6343,                0.78914,                0.76948,                0.84081,                0.47153,                0.23837,                0.17857,                0.14633,                0.02125,                    nan,                 11.115,                 1.5155,                    nan,                    nan,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.3194,                 6.7201,                0.39289,                 1.4157,                 1.6252,                0.85608,                0.79058,                0.84479,                0.49009,                0.26674,                0.23647,                0.14647,                0.02057,                    nan,                 11.129,                 1.5466,                    nan,                    nan,              0.0011884,              0.0011884,              0.0011884
                     31,                  1.297,                 6.5668,                0.39032,                 1.3448,                 1.6081,                0.89184,                0.75599,                0.88589,                0.47967,                0.30091,                0.22557,                0.19531,                0.03331,                    nan,                  11.13,                  1.491,                    nan,                    nan,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.2972,                 6.7536,                0.39876,                  1.367,                 1.6219,                0.72095,                0.84582,                0.81126,                0.44075,                0.24611,                0.22511,                0.15831,                0.02364,                    nan,                 11.078,                  1.533,                    nan,                    nan,              0.0011554,              0.0011554,              0.0011554
