                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1504,                 7.9262,                      0,                 1.5562,                 1.4742,                0.64944,                0.60392,                 0.6494,                  0.406,                0.08089,                0.04851,                0.01084,                0.00118,                    nan,                 10.035,                      0,                    nan,                    nan,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.1109,                 7.9254,                      0,                 1.4976,                 1.4339,                0.63379,                0.72325,                0.69589,                0.44469,                0.05529,                0.03358,                0.01878,                 0.0021,                    nan,                 9.9666,                      0,                    nan,                    nan,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.1222,                 7.7825,                      0,                  1.558,                 1.4303,                0.60833,                0.69241,                0.67864,                0.44162,                0.02377,                0.02239,                0.00211,                0.00029,                    nan,                 10.127,                      0,                    nan,                    nan,              0.0012544,              0.0012544,              0.0012544
                     27,                  1.121,                 7.9277,                      0,                 1.5098,                 1.4324,                0.68366,                0.68108,                0.67444,                0.41518,                0.04194,                 0.0291,                0.00343,                0.00036,                    nan,                 9.9083,                      0,                    nan,                    nan,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.1204,                   7.79,                      0,                 1.4942,                 1.4389,                0.68289,                0.65759,                0.69492,                0.44571,                0.08955,                0.03731,                 0.0153,                 0.0016,                    nan,                 9.9396,                      0,                    nan,                    nan,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.0732,                 7.7265,                      0,                 1.4792,                 1.4079,                0.66409,                0.72436,                0.69963,                0.41178,                0.03493,                0.02574,                0.00434,                0.00056,                    nan,                 10.009,                      0,                    nan,                    nan,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.0819,                 7.6266,                      0,                 1.4402,                  1.405,                0.67084,                0.65448,                0.67797,                0.43262,                0.01249,                0.01119,                0.00067,                0.00012,                    nan,                 9.9584,                      0,                    nan,                    nan,              0.0011884,              0.0011884,              0.0011884
                     31,                  1.067,                 7.6447,                      0,                 1.4183,                 1.4035,                0.70119,                 0.5988,                 0.7032,                0.46707,                0.04101,                0.03321,                0.00497,                0.00077,                    nan,                 9.9416,                      0,                    nan,                    nan,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.0537,                 7.7044,                      0,                 1.4367,                 1.4165,                0.62222,                 0.6788,                0.62285,                0.36301,                0.07973,                0.05224,                0.01732,                0.00187,                    nan,                 9.9872,                      0,                    nan,                    nan,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.0499,                 7.6486,                      0,                 1.4424,                 1.4009,                0.65976,                0.60871,                0.63546,                0.40157,                0.02861,                0.02612,                0.00462,                0.00048,                    nan,                 9.9558,                      0,                    nan,                    nan,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.0262,                 7.5616,                      0,                  1.377,                 1.3663,                0.62308,                0.74989,                0.71258,                0.45681,                0.10975,                0.05934,                 0.0251,                0.00386,                    nan,                 9.8262,                      0,                    nan,                    nan,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.0425,                 7.5442,                      0,                 1.3999,                 1.3825,                0.65276,                0.74301,                0.72571,                0.46555,                0.04663,                0.03731,                  0.012,                0.00142,                    nan,                 9.8449,                      0,                    nan,                    nan,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.0624,                 7.7409,                      0,                 1.4083,                 1.4167,                0.69878,                 0.6464,                0.69104,                0.45412,                0.07913,                0.03358,                0.00795,                0.00081,                    nan,                 9.8915,                      0,                    nan,                    nan,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.0251,                 7.5715,                      0,                 1.4088,                 1.3704,                0.57806,                0.70047,                0.65999,                0.44097,                0.04353,                0.03283,                0.00631,                0.00085,                    nan,                 9.8543,                      0,                    nan,                    nan,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.0256,                 7.5014,                      0,                 1.3514,                 1.3951,                   0.72,                0.70248,                0.75356,                0.50381,                0.02525,                0.03358,                0.00311,                0.00035,                    nan,                  9.792,                      0,                    nan,                    nan,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.0338,                 7.5729,                      0,                 1.3669,                  1.394,                0.61108,                 0.6887,                0.65351,                0.43475,                0.03096,                 0.0291,                0.00419,                0.00055,                    nan,                 9.8284,                      0,                    nan,                    nan,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.0026,                  7.486,                      0,                 1.3938,                 1.3592,                 0.6558,                0.78792,                0.74301,                0.50352,                0.08802,                0.06566,                0.01854,                0.00236,                    nan,                  9.817,                      0,                    nan,                    nan,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.0035,                 7.4164,                      0,                 1.3418,                 1.3701,                0.65186,                0.69342,                0.71256,                0.49179,                0.05804,                0.03358,                0.00909,                0.00127,                    nan,                 9.8225,                      0,                    nan,                    nan,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.0266,                  7.426,                      0,                 1.3751,                 1.3725,                0.63294,                0.65576,                0.69106,                0.46952,                0.09493,                0.04402,                0.01655,                0.00224,                    nan,                 9.8722,                      0,                    nan,                    nan,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.0265,                 7.4817,                      0,                 1.3999,                 1.3877,                0.66534,                0.74707,                0.73678,                 0.4714,                0.12478,                0.06604,                0.02494,                0.00311,                    nan,                 9.8178,                      0,                    nan,                    nan,             0.00097386,             0.00097386,             0.00097386
                     44,                 0.9768,                 7.4327,                      0,                  1.307,                 1.3494,                0.68403,                 0.7967,                0.76874,                0.54436,                 0.0883,                0.06306,                  0.032,                0.00339,                    nan,                 9.7838,                      0,                    nan,                    nan,             0.00095736,             0.00095736,             0.00095736
                     45,                0.99456,                  7.463,                      0,                 1.3456,                 1.3547,                0.66561,                0.66838,                0.68873,                0.46722,                0.03598,                0.02948,                0.00416,                0.00057,                    nan,                 9.8047,                      0,                    nan,                    nan,             0.00094085,             0.00094085,             0.00094085
                     46,                0.99304,                 7.4109,                      0,                  1.265,                 1.3525,                0.72398,                0.65642,                0.71679,                0.47712,                 0.0906,                0.07237,                0.01875,                0.00207,                    nan,                 9.8256,                      0,                    nan,                    nan,             0.00092435,             0.00092435,             0.00092435
                     47,                0.99773,                 7.2844,                      0,                 1.3196,                 1.3562,                0.74741,                 0.7546,                0.77491,                0.53714,                0.05831,                0.02948,                0.00528,                0.00066,                    nan,                 9.8439,                      0,                    nan,                    nan,             0.00090785,             0.00090785,             0.00090785
                     48,                 0.9615,                 7.2717,                      0,                 1.2745,                  1.325,                 0.6728,                0.76462,                0.72417,                 0.4633,                0.15512,                0.05895,                0.03649,                0.00415,                    nan,                 9.7431,                      0,                    nan,                    nan,             0.00089134,             0.00089134,             0.00089134
                     49,                0.94898,                 7.2056,                      0,                 1.2567,                 1.3264,                0.66998,                0.70495,                0.72923,                 0.4941,                0.09409,                0.04067,                0.01287,                0.00189,                    nan,                 9.7982,                      0,                    nan,                    nan,             0.00087484,             0.00087484,             0.00087484
                     50,                0.93366,                 7.3749,                      0,                 1.2378,                 1.3062,                0.75665,                0.75306,                 0.7751,                0.52581,                0.04007,                0.03321,                0.00649,                0.00082,                    nan,                 9.8146,                      0,                    nan,                    nan,             0.00085834,             0.00085834,             0.00085834
                     51,                0.94907,                 7.2076,                      0,                 1.2277,                 1.3116,                0.73132,                0.72063,                0.78336,                0.53507,                 0.0889,                0.05224,                0.01806,                 0.0021,                    nan,                 9.7902,                      0,                    nan,                    nan,             0.00084184,             0.00084184,             0.00084184
                     52,                 0.9467,                 7.1244,                      0,                 1.2317,                  1.332,                0.67078,                0.74164,                0.73396,                 0.4914,                0.09364,                0.05074,                0.01768,                0.00235,                    nan,                  9.712,                      0,                    nan,                    nan,             0.00082533,             0.00082533,             0.00082533
                     53,                0.93602,                 7.1689,                      0,                  1.243,                 1.3045,                 0.6462,                0.67845,                0.69004,                0.49543,                 0.1066,                0.05186,                0.01806,                0.00202,                    nan,                 9.7485,                      0,                    nan,                    nan,             0.00080883,             0.00080883,             0.00080883
                     54,                0.92139,                 7.1768,                      0,                 1.2577,                 1.3173,                0.69838,                0.76759,                0.76846,                0.50842,                0.04003,                0.05933,                0.01033,                0.00118,                    nan,                 9.7101,                      0,                    nan,                    nan,             0.00079233,             0.00079233,             0.00079233
                     55,                 0.9135,                 7.1105,                      0,                 1.1767,                 1.3205,                 0.7063,                0.69679,                0.72781,                 0.4728,                0.09618,                0.08244,                0.01677,                0.00194,                    nan,                 9.7357,                      0,                    nan,                    nan,             0.00077582,             0.00077582,             0.00077582
                     56,                0.92984,                 7.1342,                      0,                 1.2002,                 1.3182,                0.75038,                0.65554,                0.77056,                0.52369,                0.12021,                0.08319,                0.02658,                0.00297,                    nan,                  9.744,                      0,                    nan,                    nan,             0.00075932,             0.00075932,             0.00075932
                     57,                0.89818,                 7.1633,                      0,                 1.2018,                 1.2849,                0.72724,                0.67815,                0.76851,                0.51231,                0.19487,                0.11267,                0.05673,                0.00789,                    nan,                 9.6923,                      0,                    nan,                    nan,             0.00074282,             0.00074282,             0.00074282
                     58,                  0.911,                 7.1616,                      0,                 1.1827,                 1.3034,                0.73883,                0.76824,                0.78636,                0.52702,                0.17047,                0.10185,                0.04761,                0.00694,                    nan,                 9.7147,                      0,                    nan,                    nan,             0.00072631,             0.00072631,             0.00072631
                     59,                0.90423,                 7.1248,                      0,                 1.1833,                 1.3119,                0.74206,                 0.7053,                0.75242,                0.51309,                0.19621,                 0.1052,                0.04443,                 0.0069,                    nan,                 9.7292,                      0,                    nan,                    nan,             0.00070981,             0.00070981,             0.00070981
                     60,                0.87152,                 7.0077,                      0,                  1.151,                 1.2621,                0.72038,                0.70718,                0.76867,                0.53041,                0.08708,                0.07871,                0.02145,                0.00259,                    nan,                 9.7244,                      0,                    nan,                    nan,             0.00069331,             0.00069331,             0.00069331
